"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-548e-5p",0.496293080580426,1.59157382471928,4.81996447810318,1.36672737320894e-05,0.00937472069748982,3.03070528313234
"hsa-miR-193a-5p+hsa-miR-193b-5p",-0.401252747100466,1.26693093991509,-4.6126599429864,2.76616342601291e-05,0.00937472069748982,2.39926347310802
"hsa-miR-140-5p",-0.511461980750335,1.74316704289082,-4.54074311341487,3.52433108928189e-05,0.00937472069748982,2.18246610539796
"hsa-miR-1285-5p",0.422677174175245,1.60671319886082,4.17809145176175,0.000117062504352506,0.0186582994684837,1.10979546596538
"hsa-miR-1-3p",-0.453445022404774,1.66400930527267,-4.17371804215569,0.000118741887773628,0.0186582994684837,1.09708951177535
"hsa-miR-374c-5p",-0.36195847213201,1.57872214963102,-4.12238493695836,0.000140287965928449,0.0186582994684837,0.948398179465463
"hsa-miR-345-5p",-0.364099543089022,1.76279000346584,-3.9640625095135,0.000233366034997405,0.0266037279897042,0.495190585591092
"hsa-miR-525-3p",-0.287044726606183,1.25947286264338,-3.90075132645108,0.000285357308573684,0.0272580322603276,0.316355767768501
"hsa-miR-324-5p",-0.208833118807961,0.797228920385042,-3.87144416466794,0.000313052358707701,0.0272580322603276,0.234057201133992
"hsa-miR-532-5p",-0.380790182201191,1.26976244638482,-3.84376193985313,0.000341579351633178,0.0272580322603276,0.15660976541739
"hsa-miR-127-5p",-0.293917004269539,1.57923065342981,-3.80631856890536,0.000384174556864172,0.0278701178525099,0.0523059588196411
"hsa-miR-145-5p",-0.251910082430506,1.17623688606264,-3.72359516113784,0.000497142132876572,0.0330599518362921,-0.176238836919755
"hsa-miR-1193",-0.254258653664867,1.49347773840281,-3.54302330860866,0.000864637816321698,0.0502671702721746,-0.66559364180601
"hsa-miR-326",-0.284226202963782,1.43407084645713,-3.53650028589024,0.000881880180213589,0.0502671702721746,-0.683015913416527
"hsa-miR-3614-3p",-0.229176459953408,1.37800942905354,-3.50946766348756,0.000956897327521808,0.0509069378241602,-0.755020816345541
"hsa-miR-626",0.427095967683195,1.7677721378046,3.4836453431134,0.0010342109228199,0.0515812697756424,-0.823503934578152
"hsa-miR-545-3p",-0.259067639971503,1.54665554257528,-3.39447865484358,0.00134950787145132,0.0633474871422443,-1.05769431273914
"hsa-miR-409-3p",-0.257835300383171,1.57911686231963,-3.35199600973756,0.00153004653453807,0.0678320630311879,-1.16799444822707
"hsa-miR-1285-3p",-0.591824532255041,1.71484220459617,-3.32267624299638,0.00166776264994412,0.0700460312976531,-1.24362656826485
"hsa-miR-221-3p",-0.602130349593442,1.67543454943703,-3.30148730317615,0.00177451216854108,0.070803035524789,-1.29803097011961
