"","NS40_1","NS40_2","NS40_3","NS40_4","NS40_5","NS40_6","NS40_7","NS40_8","NS69_1","NS69_2","NS69_3","NS69_4","NS69_5","NS69_6","NS69_7","NS69_8","NS69_9","NS122_1","NS122_2","NS122_3","NS122_4","NS122_5","NS122_6","NS122_7","NS122_8","NS122_9","NS123_1","NS123_2","NS123_3","NS123_4","NS123_5","NS123_6","NS123_7","NS123_8","NS152_1","NS152_2","NS152_3","NS152_4","NS152_5","NS152_6","NS152_7","NS152_8","NS152_9","NS246_1","NS246_2","NS246_3","NS246_4","NS246_5","NS246_6","NS246_7","NS246_8"
"hsa-let-7a-5p",1.14390095937903,3.10115849669354,1.27069287804524,1.37332619663009,1.49715243490111,0.988641045406305,1.37074823624221,1.50515533733564,1.66178216755244,1.67269553065589,2.61365192783855,2.10531162748774,2.34151738644243,3.48939042542514,1.22786594926652,1.65072477236504,3.14803470032161,1.67970177974239,1.65288359211396,1.67581598126314,1.66188213351995,1.11063190472273,1.100154492265,1.25695004417575,1.28725942246345,0.987554250677001,1.24131792480318,1.66526669867199,1.50356753562264,1.47546118314191,1.69246351902893,1.43854484666652,1.33533996206483,3.66619326039933,1.55212917517569,1.68953136313009,1.66642545308341,1.55932386690255,1.39869659250789,1.69204604466175,1.31041758208762,4.35985376388546,1.41755745172071,1.07232462790857,1.30338946607269,1.56940163361961,1.16159273287618,1.4753810280936,1.06149553290853,1.21499465858354,2.88805709136112
"hsa-let-7b-5p",2.37732367343079,1.61352366865526,1.791547494763,1.42966842524836,2.10311440674223,2.70654629537602,3.51274820339729,2.23669558047417,1.68595067736318,1.78027722451541,1.97680758898012,1.69542296465265,1.62805106670562,1.25604005985297,1.00371855676365,2.08778107564534,2.12093300828763,2.09929016319703,1.87369454902625,1.78433726589162,1.90824056168954,1.87931489782729,1.71789135084102,1.73409614564192,1.76846529331081,2.30876489799179,1.89577707440681,1.83264238801984,2.10237696434349,1.41633115694183,1.08064295259248,1.92579989351312,1.6607070670193,1.50948900732933,1.13370258223906,1.42608405380359,1.35706912051059,1.24241682668083,0.773452770316183,1.14514273938517,1.633516126797,2.60357731580679,2.29475201123976,1.39038634884105,1.66725015076817,1.4209095477074,1.77236635655292,1.8382013091868,2.36838447287915,1.89830376485681,1.78713051917071
"hsa-let-7c-5p",1.94859181075331,1.97761555607525,1.16900280722342,1.79898614512763,2.41945856932678,1.88231823384963,2.38392937474973,2.39874959757752,1.91180761705579,1.89792246404225,1.76832552578128,0.737186417816011,1.48744931398489,2.16316648819048,2.00776893331036,1.97921329078721,1.90018026933347,1.5398944317505,1.3892472439581,1.6668506649229,2.13942710504962,1.8180054601091,1.90713057662177,1.04304519050124,1.68162972377839,2.08712074576958,1.61119638689364,2.27968344064093,1.79984949203786,1.86602249327737,2.33427400824038,1.51782853881141,0.968381314460618,2.28936234385516,1.51041050633921,2.11462582743504,1.36077521762972,1.59284462611361,1.24491471551522,1.53764528035751,1.79757547421243,3.1971748330232,1.93450259744231,1.01612076421248,0.932135162659197,1.39232635940797,1.42374211105117,2.20996977846705,1.22050656369994,0.770833385698016,1.35087052150085
"hsa-let-7d-5p",1.78044188695876,2.0064537119938,0.871385653611959,0.794099932881015,1.88137749628826,1.89843886175644,1.58914460038604,1.90430239459392,0.971778640684483,1.87323847194289,1.98233744027878,1.61210754055153,1.85560048723983,1.90883905252521,1.89090494497338,0.769595578468504,2.24547263525821,1.62388831635307,1.22250328296624,1.30541750384524,1.64769531386337,1.74898677968205,1.58905387925023,1.47817954711711,1.28364109331833,1.85465444892726,1.66368692800855,1.70627950181477,1.4888244634653,1.08610535524578,1.77587176789211,1.57906383183004,1.38806509326726,2.43374120372678,1.02128323769273,2.00048217314239,1.64755724640898,1.2728673752868,0.807134609318415,1.00308973220809,1.77346391816466,2.95870242459163,2.05347840458639,1.54938024095026,1.64516375020431,1.48846505232139,1.63496868348832,0.75454371541063,1.33960374827158,1.17735785065942,2.00729399142087
"hsa-let-7e-5p",1.38191115155147,2.01581012419632,1.61604160511776,2.01054466623649,1.50359199443528,1.33463066902368,1.56248784695809,1.52797843788038,1.52054872562317,1.53003073560888,1.99833513286453,2.01877308300483,1.51610096025887,1.36374168819831,1.36941801947011,1.54745779704491,1.52869894045872,1.53657743407935,1.53196890233944,1.55157624080979,1.54971722868203,1.36604944366159,1.62683304373557,1.52375887220675,1.482056299921,2.19367336193464,1.16973926636415,1.52702676736319,1.40336614031957,1.49208925197208,1.54136103425053,2.28128787350114,1.83790956626443,1.48837473863624,1.44503560755115,1.52651555607313,1.52661243441734,1.49382489201285,1.39511690846261,2.12405573593641,1.48480635526034,1.25439385918983,1.52828031415458,1.73003750679684,1.54006655622637,1.51396495744864,1.50077589675571,1.52147273750845,1.47496958515737,1.49636678601902,1.54345958449318
"hsa-let-7f-5p",1.28549630692627,1.62706852401863,1.32726403584768,1.79316074697076,1.44911404911518,1.16118801559525,1.41344206521488,1.46818041451116,1.61799504359015,1.78294654334698,1.66278511521251,1.45782258449126,1.47468764244058,1.72045301364273,1.27383023334319,1.55757359859798,2.40054890474547,1.53920052962537,1.52694325618687,1.56441990190793,1.54282941010572,1.31050175750873,1.3999930407767,1.42843581834395,1.38835294993338,1.12289059221343,1.88045016122677,1.52106416154816,1.38231729341032,1.38863792648031,1.56011746847132,1.37342003773192,1.49452114658518,1.64874788951653,1.48208529194536,1.55798931214728,1.55464791564083,1.78547737256988,1.41386201547028,1.57984059781002,2.0494825865941,2.9818116528356,1.46189377726902,1.44925179939297,1.50067193403486,1.50288216446675,1.97194219107826,1.78238776462939,1.48164658048814,2.13017494640228,1.57856750742503
"hsa-let-7g-5p",1.32219431652135,2.03559913503599,1.46611929911103,1.54401082846278,1.85495709374278,1.63225918381429,1.661161321219,1.7764866587186,0.930650287225196,1.6754187970737,2.24872194365995,1.64126696565317,1.95550079607715,1.88721744558795,1.60826274341115,2.15195148660897,2.29084476016935,1.02521501872684,1.94188749851912,0.840202403782851,2.17614445725364,1.14153842669442,0.996705378748219,1.211639443582,1.45901357377775,1.64249548521528,1.49990197091651,1.40176517960764,1.34234683220729,0.595378473691555,1.52480690746401,1.56141884166765,1.67170864194929,1.9957397661384,0.830547988328917,2.13618507653582,1.30056380329878,1.57619506897291,0.792961762991214,1.32053115751696,2.0279797369531,2.49421954748301,1.83919057631368,1.74401433562684,1.54911214655267,1.60173051056342,1.95774810986239,1.20511893891258,1.62937997212824,1.37399240127618,1.71921172817505
"hsa-let-7i-5p",1.79168859723913,2.61829542577688,2.06243766343305,1.62670215887319,2.12332254268933,2.19016296015017,1.76848855849838,2.05532983261109,1.92839429128385,1.78740421872241,2.64724385731555,2.05183501666288,2.3278273014964,2.45955095323579,1.9980378292083,1.04471984917796,2.42765501223323,1.46826897114068,1.0975396385243,1.82809025674681,1.95239222529262,1.67066272695204,1.9304386295752,1.60227327443034,1.76808839269945,1.72388432430382,1.57321023974563,1.92276586254738,1.97592911508998,0.890673756512657,1.88302385386156,1.65163693844191,1.45657421625213,2.71491112797092,1.39056984830964,2.14509559082194,0.783539170213332,1.89061110411754,0.871484018479385,1.9605742973843,2.40369057982667,3.2329237278204,2.22582153341633,1.41028933565422,0.702791165676481,1.00805088301987,1.79320459979935,1.5825012362015,0.426602652677668,0.386188997516061,1.92576860620926
"hsa-miR-1-3p",1.34587616202298,1.4556837134828,2.21380392574429,1.84550490998009,1.47418653754085,1.60489599772777,1.51955804963929,1.51255033148368,1.58391817967749,2.19753320566349,1.4912307490048,1.41672391890003,2.04577437333493,1.90755775077705,1.33810765790105,1.56800491245811,1.51500235800612,1.60853551424374,2.21975227460963,1.58047692714906,1.55963610687478,1.75019611003866,1.39150280140805,1.45413274751263,1.47914162446208,1.28907047876036,1.75160870536266,1.95542526007519,1.51333025131261,1.40889126180729,1.62519887323932,1.48808320306701,1.53188890491285,2.51922053246077,1.88460457861003,1.65108833435835,1.70714703547274,1.74080124009209,1.46574767707045,1.59029630997519,1.45432317167182,2.18755213072363,2.27848316672243,1.3982103287115,1.48412007106973,1.6308500717814,1.4509680092211,2.2162913021558,1.4347042827001,1.52070225138581,1.60658029654228
"hsa-miR-1-5p",0.664296375259218,0.686969286463924,0.686010109519804,0.68482278380654,0.695072999695614,0.602056127888324,0.680326564382093,0.697444207722059,0.701118833161528,0.70377650590162,0.662384439844176,0.699467003878279,0.697166593701124,0.691101613855751,0.639224659632666,0.703817216564039,0.703883808925933,0.703895680001849,0.703578521080698,0.703755289533542,0.703152639121343,0.675739548896545,0.698206963435665,0.700616331358571,0.695441138964034,0.815453388285818,0.658253657699253,0.703176123127176,0.672434622734022,0.691413092931629,0.703291657223526,0.692748070010016,0.702546890230366,0.688026648178658,0.693165195579121,0.70042204307729,0.701881319056494,0.698557223897546,0.685914963594746,0.703720226407752,0.69198793605035,2.06020091237743,0.699193707972388,0.686101393883614,0.702302089297257,0.703654071369897,0.695928212900154,0.703136221804445,0.692594405331363,0.679848966904075,0.703781707328589
