"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-3195",0.613237484941044,1.79526787710692,4.80644269017888,1.53981460085139e-05,0.0110142331497682,2.93717299844669
"hsa-miR-617",0.288688799852312,1.89253626852805,4.58364278038959,3.25002156107734e-05,0.0110142331497682,2.26581377361114
"hsa-miR-4532",0.779213202820403,1.68321211453691,4.43336258578166,5.34498587958438e-05,0.0110142331497682,1.81914039897898
"hsa-miR-199a-3p+hsa-miR-199b-3p",-0.466262539390518,2.30225285117863,-4.42352133894895,5.52091887206428e-05,0.0110142331497682,1.79007959576925
"hsa-miR-202-3p",0.220793713920741,1.3815689545184,4.16911924735723,0.000126385068420224,0.0201710569198678,1.04775558566749
"hsa-miR-152-3p",0.235896879287591,1.19353107653988,4.02209886705316,0.000202235863878931,0.0268973698958978,0.62731570013386
"hsa-miR-580-3p",0.17785228883162,0.867571391304374,3.89572848117448,0.000301275616172345,0.0334302980975671,0.271498172801778
"hsa-miR-497-5p",-0.395350813193623,1.95377335117146,-3.86166577342827,0.000335140833058317,0.0334302980975671,0.176522837264833
"hsa-miR-1305",0.700493457223478,2.19902967421092,3.79369203650083,0.000414023786117245,0.0342593692097019,-0.0117683728440889
"hsa-miR-151a-5p",0.268240753430159,1.83227660213847,3.76847115793938,0.000447615428932064,0.0342593692097019,-0.0812028847309829
"hsa-miR-1291",0.101564811621682,0.622129291837396,3.75110972644349,0.000472246943993385,0.0342593692097019,-0.128862346212552
"hsa-miR-1268a",0.71458144697363,1.59705147744333,3.66765435326931,0.000609995319034564,0.0405646887157985,-0.356358160679727
"hsa-miR-769-3p",-0.451175856148872,1.70392231244014,-3.5690363642179,0.000822623637141185,0.0504964355722051,-0.621651989587188
"hsa-miR-548d-3p",0.214724947456415,1.36493863940803,3.53928118387931,0.000899627214334963,0.0512787512170929,-0.700917784204413
"hsa-miR-601",0.48780568171979,1.7954064730985,3.36563342640936,0.00150562719968766,0.0782464053377189,-1.15593707783561
"hsa-miR-22-3p",0.765505462111601,1.87450737474546,3.3515761134901,0.00156885023233522,0.0782464053377189,-1.19218732071628
"hsa-miR-4458",0.187464360330673,1.48785711497913,3.29013582448995,0.00187594722451107,0.084781792394339,-1.34955798804341
"hsa-miR-518f-3p",-0.305791179948135,2.20916026431379,-3.28349246900878,0.00191237125701517,0.084781792394339,-1.36646855464904
"hsa-miR-553",0.268328440277693,1.88258398897056,3.25546375407976,0.00207354688775859,0.0851711981305013,-1.43758541505116
"hsa-miR-376a-3p",-0.381032411309776,1.59413322633917,-3.24537941138748,0.00213461649449878,0.0851711981305013,-1.46308077640915
"hsa-miR-1972",0.379477151415015,1.86536892052283,3.22024041420353,0.00229434106784375,0.0871849605780624,-1.52642474581464
"hsa-miR-519e-3p",0.16494461109958,1.24886302495406,3.19163090637765,0.00248983168275531,0.0903129855835789,-1.59814062013621
"hsa-let-7i-5p",0.644070850909153,2.18442142767965,3.13646159037032,0.00291195896730157,0.0989633370963826,-1.73529580450483
"hsa-miR-1224-3p",-0.333706876063127,1.59382525525181,-3.11183626942774,0.00312136307545487,0.0989633370963826,-1.79602473024473
"hsa-miR-4516",0.525559268637017,2.23282813442671,3.10530453875581,0.00317923661531898,0.0989633370963826,-1.81208121755338
"hsa-miR-223-3p",-0.639769355176573,2.42469431593969,-3.06587121117047,0.00355060802861115,0.0989633370963826,-1.90855392598344
"hsa-miR-363-5p",0.398951386571146,1.59694520489306,3.06566867413623,0.00355261647960673,0.0989633370963826,-1.90904736249198
"hsa-miR-500a-5p+hsa-miR-501-5p",0.223235901220469,1.50283958958018,3.05634713878289,0.00364621472435008,0.0989633370963826,-1.93173421652737
"hsa-miR-1908-5p",0.22168130081418,1.89560833122806,3.04806991262343,0.00373126023121593,0.0989633370963826,-1.9518415943938
"hsa-miR-106b-5p",0.513636272739173,1.88833805339735,3.04601785330221,0.00375263014024277,0.0989633370963826,-1.95682102254402
"hsa-miR-34c-5p",0.23419479138787,1.92264424051285,3.03732447987959,0.00384444041351862,0.0989633370963826,-1.9778915589859
"hsa-miR-181a-3p",-0.386207204768271,1.7161840124365,-2.9847753329671,0.00444573939463767,0.107872970337944,-2.10441011358281
"hsa-miR-1915-3p",0.498938083532528,1.73041383523429,2.97549757674905,0.00456062990763192,0.107872970337944,-2.12659500693117
"hsa-miR-1224-5p",0.166687011729972,1.3961505483662,2.97267801560129,0.00459609146803269,0.107872970337944,-2.1333279747605
"hsa-miR-377-3p",-0.281766301568919,2.2203638874875,-2.96000771647247,0.00475864656850396,0.10849714176189,-2.16353121908102
"hsa-miR-30a-3p",-0.348955785423679,1.77269075955306,-2.94882058223568,0.00490661743295599,0.108763353097191,-2.19012688915065
"hsa-miR-329-3p",0.101711864045312,0.949681412028955,2.93831948565638,0.00504940856239772,0.108903460345767,-2.21502986799635
"hsa-miR-1306-5p",0.39842724146398,1.69857263014441,2.91673163303481,0.00535520176261512,0.110686846010564,-2.26603583238095
"hsa-miR-1910-3p",0.157689564698911,1.36317952976936,2.91238511397353,0.00541881977929909,0.110686846010564,-2.27627454398049
"hsa-miR-33b-5p",-0.317273663759778,1.89016362787144,-2.9036893394178,0.00554821283260971,0.110686846010564,-2.29672720674152
"hsa-miR-2053",-0.361915485478597,1.72989816869299,-2.86225953376108,0.00620509979109464,0.119332226963833,-2.39359563549885
"hsa-miR-548o-3p+hsa-miR-548ah-3p+hsa-miR-548av-3p",0.132519391650175,0.793275921229969,2.85775935217217,0.00628064352441225,0.119332226963833,-2.40405998877246
"hsa-miR-328-5p",-0.316607717194481,1.96754454057071,-2.82704601156861,0.00681944947960991,0.126556294993691,-2.47517355457135
"hsa-miR-498",-0.324547866355662,1.89507916289072,-2.81529501420248,0.00703669604239823,0.127620078223495,-2.502240350834
"hsa-miR-365a-3p+hsa-miR-365b-3p",-0.366897823622833,1.62742971011014,-2.7961069684486,0.00740525345910607,0.130151033168119,-2.5462678082518
"hsa-miR-4536-3p",-0.269098328192565,1.6076512726472,-2.78865923523018,0.00755305662330762,0.130151033168119,-2.56329989411003
"hsa-miR-130b-3p",0.125174057087863,0.673777298720967,2.77678324575212,0.00779439174595343,0.130151033168119,-2.59039271047189
"hsa-miR-412-3p",-0.307391937767145,1.82556817243456,-2.77223255383752,0.00788874077671522,0.130151033168119,-2.60075263378543
"hsa-miR-572",-0.381352167403468,1.75318662726908,-2.76211389996374,0.00810232184653262,0.130151033168119,-2.62374529342807
"hsa-miR-190a-5p",0.321698734405738,2.22627942611256,2.75525130771293,0.00825019907546042,0.130151033168119,-2.63930529269719
"hsa-miR-503-5p",-0.283216012287062,1.82407231218601,-2.7521462271232,0.0083179231723986,0.130151033168119,-2.64633661783357
"hsa-miR-574-3p",-0.307280810725605,1.59810528909854,-2.73479929381626,0.00870579942522724,0.133600537333295,-2.68551422832601
"hsa-miR-510-3p",-0.297178103394024,1.60861484549732,-2.71603813220586,0.00914400934244504,0.137677725571154,-2.72768670759538
"hsa-miR-222-3p",0.581821327876301,1.6667329113498,2.68510380889896,0.00991109775954833,0.143301167793011,-2.79676722345546
"hsa-miR-147b",-0.363676607055741,1.76443359865287,-2.68151716283479,0.0100037623493758,0.143301167793011,-2.80473976533855
"hsa-miR-197-5p",-0.258218889256111,1.89194332771421,-2.67950016884319,0.0100562223012639,0.143301167793011,-2.80921983602887
"hsa-let-7b-5p",0.327588631821654,2.29049122617059,2.65523061220621,0.0107075595729692,0.148322632849071,-2.8629347128507
"hsa-miR-10b-5p",-0.331538287819821,1.62602822736774,-2.65260336267225,0.0107803417358974,0.148322632849071,-2.86872819240649
