"","NS40_1","NS40_2","NS40_3","NS40_4","NS40_5","NS40_6","NS40_7","NS40_8","NS69_1","NS69_2","NS69_3","NS69_4","NS69_5","NS69_6","NS69_7","NS122_1","NS122_2","NS122_3","NS122_4","NS122_5","NS122_6","NS122_7","NS122_8","NS122_9","NS123_1","NS123_2","NS123_3","NS123_4","NS123_5","NS123_6","NS123_7","NS123_8","NS150_1","NS150_2","NS150_3","NS150_4","NS150_5","NS150_6","NS150_7","NS150_8","NS150_9","NS246_1","NS246_2","NS246_3","NS246_4","NS246_5","NS246_6","NS246_7","NS246_8","NS246_9"
"hsa-let-7a-5p",1.26530645579431,3.22147401854217,1.46668521825967,1.52361622005692,1.59701069433057,1.11744744058738,1.54036699679969,1.69955054604578,1.68913202217171,2.75427154685178,2.27938349924346,2.4731403380504,1.38437079851777,1.75653738790121,3.28026652947879,1.77670683954089,1.79851018503824,1.75304757606057,1.75019391729825,1.31962523347875,1.37258581722876,1.43040538274947,1.41370334268219,1.10888713313612,1.38227973816454,1.74801583450865,1.6067357090847,1.56788101745837,1.78200583327473,1.56591606677151,1.63191052114984,3.78601480166624,1.71815940630579,1.77603351827043,1.77267467380445,1.73619974016135,1.52479571191062,1.77389589528529,1.50030370596665,4.45898262701735,1.63876732559272,1.25328813374284,1.58036350865309,1.77383469171268,1.37519166538879,1.64760156288154,1.23616958101302,1.42544836634527,2.97845708596124,1.77068645880125
"hsa-let-7b-5p",2.47480908812511,2.21900409610733,2.27347686964047,2.25297433251658,2.78606423425659,2.69557976324343,3.71019114017006,2.72178167916716,2.19290853182171,2.20551153322409,2.32588576321186,2.29345175877694,2.12681741719194,2.43047742746322,2.48573385112777,2.70527407483494,2.5686254744245,2.28732194895776,2.32011603399777,2.21634319362188,2.30644396536,2.22047368429792,2.26798293323372,2.42260922218487,2.14904809748879,2.31464328590331,2.27072758691635,1.73508012198297,1.82328290258243,2.44518659135099,2.11333621984699,2.00403845547029,1.89294710452641,1.96601051232613,2.26130827547066,1.94763739955034,1.70086590933834,1.79237916024673,2.13850108284,2.53487660527205,2.32441173967668,2.23033958910127,2.4388791123167,2.00148885556469,2.25199677557729,2.74745868966723,2.81900062493086,2.31750623094861,2.41335685075735,1.4143160254245
"hsa-let-7c-5p",1.91642604655447,1.92081491088033,1.13088205366758,1.78717257430607,2.39560796978046,1.87304695894629,2.34887649859587,2.30362139970772,1.89517931165495,1.75195789939819,0.681790698670864,1.39773079406411,1.97849415766986,1.87851710405495,1.7676736803904,1.48721819720503,1.33398558165958,1.61421897347634,2.09096941124421,1.82053222871913,1.87867421185612,0.9136514916114,1.56559842668097,2.05319579582352,1.59140849767086,2.22255202064753,1.77403297059062,1.82610899603334,2.27578981797292,1.47807421780412,0.91749379587016,2.24001441164204,1.50522305096649,2.07262937148031,1.31783625790816,1.5188317001584,1.23457638142987,1.46097663940006,1.7409686002409,3.03362926820171,1.95542747423595,0.986956614701567,0.859716142808113,1.30521957198669,1.38147276924516,2.17786469616742,1.15764920703829,0.722280190049515,1.27029165734094,1.46174844288462
"hsa-let-7d-5p",2.05384646456927,2.42792907263755,1.18549571636578,1.09640852799905,2.23185908423192,2.19459672916507,1.93008054968651,2.33910616100707,1.31350767823886,2.33994113718052,1.89781354572282,2.16918764513544,2.17381436322369,1.13234285206451,2.59380336729989,2.02090651379712,1.54109885258766,1.71837483065998,1.97565788584416,2.05541634442221,1.92115943307366,1.82280269535799,1.61548876225986,2.19361203501188,2.03867244575667,2.07333526049673,1.84543934476751,1.46063669153496,2.18228186062609,1.91439453340605,1.6860118344876,2.85538267795685,1.2917258108754,2.35281722375304,1.93648900259917,1.62700709474436,1.06576444996393,1.28257108773689,2.1824582214211,3.47289689597857,2.38031459300169,1.80525508855674,1.97645688434693,1.81836441202486,1.96456545146895,1.12959529806805,1.61179383868414,1.49827094640554,2.35663261441549,0.728725159610094
"hsa-let-7e-5p",1.44417932146546,1.98417923702038,1.62376286574108,1.99206215318579,1.53992798953165,1.36936823397825,1.53328658137131,1.48305497350283,1.61295792761102,1.9443469301436,2.03582527823734,1.54559171890115,1.40683029891312,1.57786750499035,1.53344193009369,1.60311682042832,1.58231233110235,1.61861697427974,1.56011386534433,1.36933710620816,1.58023447411882,1.49770821110938,1.48087522506242,2.24644332677518,1.32815771126076,1.58928729853362,1.41936152693951,1.51133102009782,1.59497055263322,2.27659590843275,1.78172555753299,1.4711275412332,1.42562568544367,1.55300273355227,1.5691551616528,1.47829469774821,1.35618458428082,2.18361074900121,1.41073835282209,1.08005680323544,1.48969001024938,1.74881742212359,1.49453082588859,1.53992757733181,1.4669197449052,1.57689878497335,1.51734753724911,1.42358353562945,1.6088047988539,1.57766777620633
"hsa-let-7f-5p",1.52251654610476,2.00353032048915,1.69774081577291,2.11981386427453,1.78913867431847,1.46929684451448,1.72997986104096,1.81229877834657,1.90967935998235,1.89334004834944,1.78356126952097,1.79633600808528,1.56110937243075,1.85130603017298,2.71778538699953,1.83543044492949,1.83183316645971,1.84664297430323,1.84024109511784,1.64473495223571,1.73154782761662,1.82301397147707,1.77033906783846,1.43696151015001,2.22892371580834,1.84096068100257,1.72608209856905,1.75806920512441,1.83134047512712,1.73562142937717,1.83273061982762,1.97664791931197,1.77557399071843,1.83767946601221,1.8199088413035,2.18051876412122,1.69206106265551,1.83887249792503,2.40527763422513,3.16876220320879,1.76925844310561,1.80433842894934,1.86303123661143,1.8312806125253,2.24017077297465,2.13913573381642,1.79357593619402,2.48707882441207,1.83007794949866,1.83944428865954
"hsa-let-7g-5p",1.89031225860635,2.74086727552758,2.10750823650192,2.13864692674921,2.34990947605407,2.3185018414526,2.30701953617428,2.34218499504872,1.38376206998426,2.94985970670179,2.25735882049613,2.69603116369867,2.16563065036953,2.74693780704703,3.00136591283767,1.50225811187739,2.43404449320731,1.42389063420789,2.68389202294256,1.55190563468579,1.52141468438076,1.73460321598369,2.07817210586049,2.21395982823316,2.11491186332325,2.18282818571723,1.95101927361706,1.15603582010497,1.97742686064864,2.15829616302783,2.15793025475738,2.80450314832669,1.26529328991317,2.54944198213344,1.85536203854536,2.17129053299336,1.32168508116641,1.90544352736607,2.64444887867749,3.25164459319761,2.43413528887486,2.28637413301658,2.15512436647461,2.18594979751477,2.53255660548107,1.78149986940648,2.24727798838036,1.94715967363657,2.26203487009695,2.20949511281561
"hsa-let-7i-5p",2.28383906600902,3.14710434713216,2.48689411225012,2.14929897643679,2.4810120319963,2.81261734975759,2.34714778120781,2.54911109571281,2.37284475462791,3.10590073378971,2.49220943201174,2.78980823298375,2.50224593416803,1.43561993259949,2.99240811608883,1.81238260600576,1.44471147582293,2.25487802114174,2.39526019068873,2.05006495459955,2.22269615337799,1.97015882476529,2.34174528591535,2.16835958336857,2.05676297264559,2.41942976430819,2.33206049020342,1.27856663542522,2.27408060192248,2.16094385832371,1.89030158377455,3.15462534025343,1.80736916934002,2.66068123027303,1.3103171012723,2.39705582655246,1.33755477191205,2.51017210633884,2.80992851600049,3.80580071333037,2.70569806932691,1.84585985489185,1.13306670177285,1.56807114691245,2.21670467867164,2.05358295422376,1.00807110698047,0.916469059990876,2.38743680289244,1.09341797563229
"hsa-miR-1-3p",1.54394569797247,1.64996251421819,2.48103367512686,2.02950678374071,1.68187230858496,1.78712470803171,1.70833882759121,1.78213583014883,1.72869491446474,1.70157609366338,1.63832852952281,2.23445424159563,1.57586431991059,1.80148375189346,1.74269724197317,1.784978567457,2.38269945801286,1.78173165778657,1.76745395306264,2.0262235129084,1.71344176968241,1.74732209888473,1.68783428541661,1.54294809979293,1.98911746703933,2.18458125909969,1.66664829896414,1.67037371917054,1.78140150905066,1.66581614837652,1.83280923777579,2.68134247504437,2.14174395705015,1.78642074970873,1.85166740005376,1.92826714342088,1.62662260615405,1.78979232613471,1.70596427035294,2.42622980880366,2.48893299756168,1.63064018939869,1.81268763162967,1.82862414535301,1.74359952671938,2.41640545302136,1.68792806066931,1.7548293418733,1.78806746309728,1.79880996695772
"hsa-miR-1-5p",0.717707638597955,0.739064541627787,0.737102899304737,0.738098496015653,0.747815165102391,0.647174677318015,0.72994065964311,0.748321604448176,0.752552952773761,0.715536674245439,0.752973825516124,0.752423681756438,0.694230092531069,0.756052474334262,0.755820901227102,0.756083927930767,0.756075739747914,0.756212370481612,0.755284286991463,0.721729580998868,0.74957335632412,0.751868663787192,0.750255502254941,0.866744577688013,0.706202308481187,0.756077470343341,0.723825696230987,0.742919115154421,0.755901702557017,0.745662247831257,0.754042644074678,0.736575663280111,0.75041592089112,0.753781332497189,0.754150791962869,0.751994066702644,0.739511189223934,0.7560336810673,0.74302455007187,2.08530820503751,0.750388061602055,0.738828790954974,0.754418020024778,0.755823172642201,0.749569064101838,0.755766380661044,0.749276028612417,0.737194672637516,0.755969032298799,0.755596275752884
"hsa-miR-100-5p",2.33907436139105,1.88106578987232,2.13160780439605,2.39869547808085,2.1649542155904,1.6788123709923,1.44591598162147,2.37782940939636,2.31052988793387,1.5264957185423,1.34238403212632,1.51862082898477,1.26301969843815,1.72670193282748,1.17453692570248,1.73907517572324,1.68013282690974,1.75254680673313,2.11200432069937,1.70693667086342,1.9429986809549,1.91625318240841,2.0047310343324,1.84848596887741,2.20204492726093,2.62038640457097,2.35936231515366,1.55478348016464,1.73366021788795,2.26758332374935,1.27835926033966,1.48219851754671,2.10195104480419,1.71917073521364,1.69546916987553,2.23704574379587,2.08664505984793,1.75123030091861,1.67133726530191,0.981591324083722,1.44489505393987,1.08256131304561,1.21006266493507,1.49474563335108,1.95751980406944,1.4243696706487,1.02957574990609,1.62315671229482,1.84055602061186,1.46254045013598
"hsa-miR-101-3p",0.370754978134712,0.376147342882863,0.373901167875698,0.374010688171264,0.379435232156276,0.347142952219391,0.373775618924574,0.378327327507585,0.378946107162459,0.367208107094462,0.379719439739434,0.379552487618769,0.36118439059304,0.380361184682706,0.380532478297674,0.380263292433403,0.380191944874339,0.380338597564908,0.380371905769265,0.37199353522832,0.378291007725238,0.380152232445187,0.378511197458194,0.354221758627833,0.863317076968246,0.380349001745966,0.367061672469899,0.376357883151131,0.380303382656377,0.377054554139179,0.380041888574551,0.374555798791678,0.379550125198121,0.379752738218406,0.379632379092271,0.379219478019942,0.425088832920381,0.38029394396493,0.376391275542076,0.271758106402742,0.380874637024217,0.374586584844243,0.379704706095903,0.38036620693775,0.378810140154316,0.380319156883644,0.376115584506308,0.374471916155009,0.38029881308966,0.380222935772301
"hsa-miR-103a-3p",0.458337597088434,0.466319083862471,0.466714024301996,0.462963081086806,0.471321719608834,0.42256527545741,0.462658126701345,0.469802074589835,0.471696421456736,0.453996689826304,0.472726846386039,0.472234276291042,0.439848892623086,0.473858997645284,0.474042926739397,0.473702116332659,0.473574495123428,0.473889775235093,0.473714436276444,0.458625618667222,0.470721348182621,0.472933594733201,1.0143454381309,0.438369954571621,0.515724681558966,0.473837164420307,0.456151971985866,0.468695223170941,0.473682750597109,0.468226926086803,0.473209059969035,0.464100690158695,0.472300201700925,0.472398353578979,0.472908677981594,0.471874268175901,0.466235113100609,0.473736231048104,0.467295398060187,0.314169201260796,0.472036652462553,0.722332752007955,0.473143499281251,0.473743089181742,0.471392938406043,0.473644415126441,0.469106920690418,0.463832365930905,0.473714041043993,0.473512591745107
